Program Name,Program Type,Size in Bytes
bzmore,a /usr/bin/sh script,1263
c89,a /usr/bin/sh script,228
c99,a /usr/bin/sh script,219
ca-legacy,a /usr/bin/sh script,1648
catcat,a /usr/bin/sh script,870
catchsegv,a /usr/bin/sh script,3289
ccrewrite,a /usr/bin/sh script,84
cd,a /usr/bin/sh script,30
cert-sync,a /usr/bin/sh script,84
chktrust,a /usr/bin/sh script,83
ci,a /usr/bin/sh script,811
cinnamon-session-cinnamon,a /usr/bin/sh script,61
cinnamon-session-cinnamon2d,a /usr/bin/sh script,63
clamav-config,a /usr/bin/sh script,961
clanlib-config,a /usr/bin/sh script,373
clc-register-user-package,a /usr/bin/sh script,1406
clc-unregister-user-package,a /usr/bin/sh script,1327
co,a /usr/bin/sh script,811
command,a /usr/bin/sh script,35
compile_et,a /usr/bin/sh script,1346
context,a /usr/bin/sh script,189
cpanget,a /usr/bin/sh script,1541
cpp2html,a /usr/bin/sh script,50
cscope-indexer,a /usr/bin/sh script,3780
csharp,a /usr/bin/sh script,81
csslint,a /usr/bin/sh script,87
cvlc,a /usr/bin/sh script,48
cvsbug,a /usr/bin/sh script,14035
db2html,a /usr/bin/sh script,1294
disco,a /usr/bin/sh script,80
docbook2html,a /usr/bin/sh script,41
docbook2man,a /usr/bin/sh script,40
docbook2rtf,a /usr/bin/sh script,40
docbook2tex,a /usr/bin/sh script,40
docbook2texi,a /usr/bin/sh script,41
docbook2txt,a /usr/bin/sh script,40
dotty,a /usr/bin/sh script,2089
dvipdft,a /usr/bin/sh script,2692
egrep,a /usr/bin/sh script,32
emacs-terminal,a /usr/bin/sh script,66
emacspeak,a /usr/bin/sh script,925
eps2eps,a /usr/bin/sh script,643
eu-make-debug-archive,a /usr/bin/sh script,2915
exo-preferred-applications,a /usr/bin/sh script,285
external-ip,a /usr/bin/sh script,165
fbsetbg,a /usr/bin/sh script,17018
fc,a /usr/bin/sh script,30
fc-cache,a /usr/bin/sh script,139
fg,a /usr/bin/sh script,30
fgrep,a /usr/bin/sh script,32
find2mas6x,a /usr/bin/sh script,473
find2mass,a /usr/bin/sh script,907
find2mass6x,a /usr/bin/sh script,444
find2massi,a /usr/bin/sh script,907
find_gen,a /usr/bin/sh script,3523
findcat,a /usr/bin/sh script,925
findcfhtd,a /usr/bin/sh script,483
findcfhtw,a /usr/bin/sh script,483
findcmc14,a /usr/bin/sh script,762
findcmc15,a /usr/bin/sh script,482
findenis,a /usr/bin/sh script,2103
findenis1,a /usr/bin/sh script,2103
findenis2,a /usr/bin/sh script,2103
findenis3,a /usr/bin/sh script,2103
findgalex5a,a /usr/bin/sh script,539
findgalex5m,a /usr/bin/sh script,539
findglimpse,a /usr/bin/sh script,1083
findgsc,a /usr/bin/sh script,2667
findgsc1.1,a /usr/bin/sh script,2667
findgsc1.2,a /usr/bin/sh script,2667
findgsc1.3,a /usr/bin/sh script,2667
findgsc2.2,a /usr/bin/sh script,2667
findgsc2.3,a /usr/bin/sh script,2667
findigsl,a /usr/bin/sh script,472
findiphas2,a /usr/bin/sh script,480
findkic,a /usr/bin/sh script,1197
findmc2,a /usr/bin/sh script,440
findmc_irsf,a /usr/bin/sh script,447
findnomad1,a /usr/bin/sh script,650
findpmm1,a /usr/bin/sh script,675
findpmm2,a /usr/bin/sh script,675
findppmx,a /usr/bin/sh script,1200
findppmxl,a /usr/bin/sh script,1200
findsage,a /usr/bin/sh script,441
findsdss-sp,a /usr/bin/sh script,1738
findsdss3,a /usr/bin/sh script,1607
findsdss4,a /usr/bin/sh script,1607
findsdss5,a /usr/bin/sh script,1607
findsdss6,a /usr/bin/sh script,1607
findsdss7,a /usr/bin/sh script,1607
findsdss8,a /usr/bin/sh script,1607
findsdss9,a /usr/bin/sh script,1607
findspm4,a /usr/bin/sh script,696
findtyc2,a /usr/bin/sh script,542
finducac1,a /usr/bin/sh script,697
finducac2,a /usr/bin/sh script,697
finducac3,a /usr/bin/sh script,697
finducac4,a /usr/bin/sh script,697
findudxs8,a /usr/bin/sh script,484
findudxs9,a /usr/bin/sh script,484
findugcs8,a /usr/bin/sh script,484
findugcs9,a /usr/bin/sh script,484
findugps6,a /usr/bin/sh script,484
findulas7,a /usr/bin/sh script,484
findulas8,a /usr/bin/sh script,484
findulas9,a /usr/bin/sh script,484
findurat1,a /usr/bin/sh script,439
findusnoa1,a /usr/bin/sh script,675
